State,Postal Code,Survey Takers
Alabama,AL,561
Alaska,AK,152
Arizona,AZ,1080
Arkansas,AR,297
California,CA,6785
Colorado,CO,1555
Connecticut,CT,909
Delaware,DE,168
Florida,FL,2705
Georgia,GA,1487
Hawaii,HI,181
Idaho,ID,420
Illinois,IL,2901
Indiana,IN,1587
Iowa,IA,796
Kansas,KS,651
Kentucky,KY,648
Louisiana,LA,426
Maine,ME,384
Maryland,MD,1343
Massachusetts,MA,2293
Michigan,MI,2456
Minnesota,MN,1715
Mississippi,MS,231
Missouri,MO,1244
Montana,MT,248
Nebraska,NE,435
Nevada,NV,358
New Hampshire,NH,450
New Jersey,NJ,1893
New Mexico,NM,275
New York,NY,3720
North Carolina,NC,1478
North Dakota,ND,163
Ohio,OH,2531
Oklahoma,OK,575
Oregon,OR,1405
Pennsylvania,PA,2777
Rhode Island,RI,239
South Carolina,SC,480
South Dakota,SD,176
Tennessee,TN,903
Texas,TX,3931
Utah,UT,979
Vermont,VT,226
Virginia,VA,1875
Washington,WA,2532
West Virginia,WV,200
Wisconsin,WI,1478
Wyoming,WY,86
District of Columbia,DC,263
